id,name,description,slug,price,discounted_price,currency,brand,category,image_url,image_alt,in_stock,stock_quantity,wix_id,created_at,updated_at
7a7366a5-7ff0-451d-af54-bb45b851acbd,Ultra Suede Sculpting Lip Pencil,"The Ultra Suede Sculpting Lip Pencil defines and shapes lips with a smooth, creamy matte formula that feels comfortable all day. Its lip-lock technology prevents feathering, keeping your look precise and long-lasting. A built-in brush blends color seamlessly for a polished, sophisticated finish.",jeffree-star-cosmetics-velour-lip-liner-copy-2,0.00,20.00,USD,The Beauty Vault,Makeup,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign_41.png?v=1758500613,Ultra Suede Sculpting Lip Pencil,false,,,2025-10-23 02:02:22.928198+00,2025-10-23 02:02:22.928198+00
0a4c3b6a-1f82-414e-b5a7-f6aa5a2f7eac,Blur HD Setting Powder,"A weightless, ultra-fine loose powder that perfects and sets your makeup with a soft matte or radiant finish. The silky texture blurs the look of pores and fine lines while controlling shine—without ever feeling dry or cakey. Infused with vitamins C and E plus oil-absorbing minerals, it keeps your complexion smooth, fresh, and photo-ready from day to night. Available in multiple shades for every skin tone.",anastasia-beverly-hills-loose-setting-powder-copy,0.00,25.00,USD,The Beauty Vault,Makeup,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign_2.png?v=1758500610,Blur HD Setting Powder,false,,,2025-10-23 02:02:22.928198+00,2025-10-23 02:02:22.928198+00
9f3e5c2a-8d1b-4a6e-b9f4-e5b8c7d9a1f3,Supreme Lash Volumizing Mascara,"Amplify your lashes with this ultra-black, buildable mascara that delivers dramatic volume and length without clumping or flaking. The precision brush coats every lash from root to tip, creating a bold, eye-opening effect that lasts all day. Perfect for achieving a full, fluttery look with just a few swipes.",supreme-lash-volumizing-mascara,0.00,22.00,USD,The Beauty Vault,Makeup,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign_3.png?v=1758500611,Supreme Lash Volumizing Mascara,false,,,2025-10-23 02:02:22.928198+00,2025-10-23 02:02:22.928198+00
8e2d4b5a-7c9f-4e3d-a1b6-d9c8e7f6a2b4,Luxe Velvet Matte Lipstick,"Indulge in rich, velvety color that glides on effortlessly and stays put for hours. This luxurious matte lipstick delivers full-coverage pigment with a soft, comfortable formula that won't dry out your lips. Available in a stunning range of shades to suit every mood and occasion.",luxe-velvet-matte-lipstick,0.00,24.00,USD,The Beauty Vault,Makeup,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign_4.png?v=1758500611,Luxe Velvet Matte Lipstick,false,,,2025-10-23 02:02:22.928198+00,2025-10-23 02:02:22.928198+00
7d1c3a4b-6e8f-4d2c-b9a5-e8d7f6c5b3a2,Radiant Glow Highlighter Palette,"Illuminate your features with this versatile highlighter palette featuring four complementary shades. From subtle shimmer to intense glow, these silky powders blend seamlessly onto your skin for a luminous, lit-from-within radiance. Perfect for highlighting cheekbones, brow bones, and cupid's bow.",radiant-glow-highlighter-palette,0.00,32.00,USD,The Beauty Vault,Makeup,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign_5.png?v=1758500612,Radiant Glow Highlighter Palette,false,,,2025-10-23 02:02:22.928198+00,2025-10-23 02:02:22.928198+00
6c2b4a3d-5f7e-4c1d-a8b9-d7e6f5c4b2a1,Precision Wing Eyeliner Pen,"Create flawless winged liner with this ultra-fine felt tip pen that delivers intense black pigment in one smooth stroke. The quick-drying, smudge-proof formula ensures your liner stays sharp and precise all day, while the ergonomic grip gives you total control for any eye look.",precision-wing-eyeliner-pen,0.00,18.00,USD,The Beauty Vault,Makeup,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign_6.png?v=1758500612,Precision Wing Eyeliner Pen,false,,,2025-10-23 02:02:22.928198+00,2025-10-23 02:02:22.928198+00
5b1a3c2e-4d6f-3e2c-b7a8-c6d5e4f3a1b9,Flawless Finish Foundation,"Achieve a natural, airbrushed complexion with this lightweight, buildable foundation that adapts to your skin tone. The long-wearing formula provides medium to full coverage while letting your skin breathe, controlling oil, and blurring imperfections for a smooth, even finish that lasts up to 24 hours.",flawless-finish-foundation,0.00,38.00,USD,The Beauty Vault,Makeup,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign_7.png?v=1758500613,Flawless Finish Foundation,false,,,2025-10-23 02:02:22.928198+00,2025-10-23 02:02:22.928198+00
4a9b2c1d-3e5f-2d1c-a6b7-b5c4d3e2f1a8,Sculpt & Define Contour Kit,"Master the art of contouring with this expertly curated palette featuring six shades for sculpting, bronzing, and highlighting. The creamy, blendable formula effortlessly defines your features for a chiseled, dimensional look. Includes a step-by-step guide for professional results at home.",sculpt-define-contour-kit,0.00,35.00,USD,The Beauty Vault,Makeup,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign_8.png?v=1758500613,Sculpt & Define Contour Kit,false,,,2025-10-23 02:02:22.928198+00,2025-10-23 02:02:22.928198+00
3b8a1c9d-2f4e-1d3c-b5a6-c4d3e2f1a9b7,Hydrating Lip Gloss Trio,"Get juicy, high-shine lips with this trio of nourishing glosses in universally flattering shades. Enriched with vitamin E and natural oils, each gloss hydrates while delivering a lustrous, non-sticky finish. Wear alone for a natural pop of color or layer over lipstick for extra dimension.",hydrating-lip-gloss-trio,0.00,28.00,USD,The Beauty Vault,Makeup,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign_9.png?v=1758500614,Hydrating Lip Gloss Trio,false,,,2025-10-23 02:02:22.928198+00,2025-10-23 02:02:22.928198+00
2c7a9b8d-1e3f-9d2c-a4b5-d3e2f1c9a8b6,Ultimate Eye Shadow Palette,"Unleash your creativity with this 35-shade palette featuring a mix of matte, shimmer, and metallic finishes. From everyday neutrals to bold statement colors, these highly pigmented shadows blend effortlessly and last all day. Includes a dual-ended brush for easy application on the go.",ultimate-eye-shadow-palette,0.00,45.00,USD,The Beauty Vault,Makeup,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign_10.png?v=1758500614,Ultimate Eye Shadow Palette,false,,,2025-10-23 02:02:22.928198+00,2025-10-23 02:02:22.928198+00
